crop,district,best_model,MAE,RMSE,MAPE,MASE
Beetroot,Anuradhapura,ARIMA,13.390400236791136,16.030846013687135,184.7264673211046,13.390400236791136
Beetroot,Badulla,SARIMA,177.3719573031709,196.4927452980996,50.60361515994861,177.3719573031709
Beetroot,Batticaloa,SARIMA,0.20611865981312957,0.22568172135414,2061186598.1312957,0.20611865981312957
Beetroot,Colombo,ARIMA,0.0,0.0,0.0,0.0
Beetroot,Galle,ARIMA,0.0,0.0,0.0,0.0
Beetroot,Gampaha,ARIMA,0.0,0.0,0.0,0.0
Beetroot,Hanbantota,ARIMA,0.0,0.0,0.0,0.0
Beetroot,Jaffna,SARIMA,9.378304379185806,9.500304373056727,4.09186682753014,9.378304379185806
Beetroot,Kaluthara,ARIMA,0.0,0.0,0.0,0.0
Beetroot,Kandy,SARIMA,6.128479129972064,6.601126472263729,25.724168094313605,6.128479129972064
Beetroot,Kegalle,ARIMA,0.0,0.0,0.0,0.0
Beetroot,Kilinochchi,ARIMA,1.5e-323,0.0,1.4821969375e-313,1.5e-323
Beetroot,Kurunegala,Prophet,19.024275667829304,25.34571303171144,10.623242095276797,19.024275667829304
Beetroot,Mannar,SARIMA,0.31937574333923474,0.31962238179004593,59.8829507533012,0.31937574333923474
Beetroot,Matale,Prophet,153.5390893763338,172.2914134826993,85.34818923361621,153.5390893763338
Beetroot,Matara,ARIMA,0.14999999999999997,0.15,99.9999933333338,0.14999999999999997
Beetroot,Monaragala,ARIMA,2.4000000000000004,2.6832815729997477,46.666666570370374,2.4000000000000004
Beetroot,Mullativu,SARIMA,3.2992237150938135,4.0087631001456145,30.44806407823301,3.2992237150938135
Beetroot,Nuwara Eliya,SARIMA,197.88685597466213,213.9897067658968,14.808205215299134,197.88685597466213
Beetroot,Polonnaruwa,ARIMA,0.0,0.0,0.0,0.0
Beetroot,Puttalam,SARIMA,79.91939340533695,89.77651662591518,4.673701349782583,79.91939340533695
Beetroot,Ratnapura,SARIMA,0.9407552614017726,1.244972841554948,18.35524399024656,0.9407552614017726
Beetroot,Trincomalee,Prophet,0.08920570016469169,0.09559736943797599,41.17722931726566,0.08920570016469169
Beetroot,Vavuniya,SARIMA,2.2565982771080564,2.2678252823597598,410.2905883779995,2.2565982771080564
Cabbage,Ampara,SARIMA,0.31702183432880343,0.36603804795894535,3170218343.2880344,0.31702183432880343
Cabbage,Anuradhapura,SARIMA,5.451678244882057,6.094351496336255,8.692508487825796,5.451678244882057
Cabbage,Badulla,Prophet,401.49561526013866,547.0767691237087,18.437508431360108,401.49561526013866
Cabbage,Batticaloa,ARIMA,0.0,0.0,0.0,0.0
Cabbage,Colombo,ARIMA,0.5583333333333332,0.5613723264366429,67.13947909430557,0.5583333333333332
Cabbage,Galle,ARIMA,0.0,0.0,0.0,0.0
Cabbage,Gampaha,ARIMA,0.75,0.8348319857578794,293.9102702551784,0.75
Cabbage,Hanbantota,ARIMA,2.4834832134246732e-05,3.36554211109584e-05,248348.3213424673,2.4834832134246732e-05
Cabbage,Jaffna,Prophet,34.681731064615036,37.29046707935144,57.389960265002586,34.681731064615036
Cabbage,Kaluthara,ARIMA,0.0,0.0,0.0,0.0
Cabbage,Kandy,SARIMA,68.20421416343277,69.31679972985471,12.120679743356288,68.20421416343277
Cabbage,Kegalle,ARIMA,0.5333333333333332,0.5333333333333333,72.72727173553719,0.5333333333333332
Cabbage,Kilinochchi,ARIMA,0.0,0.0,0.0,0.0
Cabbage,Kurunegala,Prophet,8.386678100276052,8.50971727021124,163.53900898432858,8.386678100276052
Cabbage,Mannar,ARIMA,5.591666666666666,5.611805512587825,428.44539790427405,5.591666666666666
Cabbage,Matale,Prophet,145.51839989224234,153.8984331305549,27.98775833164194,145.51839989224234
Cabbage,Matara,ARIMA,0.14999999999999997,0.15,1500000000.0,0.14999999999999997
Cabbage,Monaragala,ARIMA,2.946159321147245,3.6611279780044974,33.724960507609076,2.946159321147245
Cabbage,Mullativu,ARIMA,19.36666666666667,19.989254057562476,99.99311028405495,19.36666666666667
Cabbage,Nuwara Eliya,Prophet,1147.1433868557415,1429.3841897099733,18.291790508041693,1147.1433868557415
Cabbage,Polonnaruwa,ARIMA,0.0,0.0,0.0,0.0
Cabbage,Puttalam,SARIMA,42.80780539023548,54.14890708878729,2.159357881910028,42.80780539023548
Cabbage,Ratnapura,SARIMA,15.019332315210226,15.05888488291924,29.89297710023115,15.019332315210226
Cabbage,Trincomalee,ARIMA,1.559389156893756,1.9504675274452772,188.8015219021043,1.559389156893756
Cabbage,Vavuniya,Prophet,8.040017727563383,8.875012472244668,37.075008755819134,8.040017727563383
Carrot,Ampara,ARIMA,1.3932308054740923e-08,1.970733625504551e-08,139.32308054740926,1.3932308054740923e-08
Carrot,Anuradhapura,ARIMA,0.0,0.0,0.0,0.0
Carrot,Badulla,Prophet,207.29185668363758,223.26812175410515,11.170703266848152,207.29185668363758
Carrot,Batticaloa,ARIMA,0.0,0.0,0.0,0.0
Carrot,Colombo,ARIMA,0.0,0.0,0.0,0.0
Carrot,Galle,ARIMA,0.0,0.0,0.0,0.0
Carrot,Gampaha,ARIMA,0.0,0.0,0.0,0.0
Carrot,Hanbantota,ARIMA,0.0,0.0,0.0,0.0
Carrot,Jaffna,SARIMA,36.2424540047975,39.75813406686733,36.3391647021505,36.2424540047975
Carrot,Kaluthara,ARIMA,0.0,0.0,0.0,0.0
Carrot,Kandy,SARIMA,10.329958621822026,14.292169744048552,6.073735721981173,10.329958621822026
Carrot,Kegalle,ARIMA,0.12895175980926468,0.13037747054738097,1289517598.0926468,0.12895175980926468
Carrot,Kilinochchi,ARIMA,0.0,0.0,0.0,0.0
Carrot,Kurunegala,SARIMA,0.21216582078153853,0.21494914036155952,1233223946.652958,0.21216582078153853
Carrot,Mannar,ARIMA,0.08333333333333329,0.0833333333333333,833333333.3333329,0.08333333333333329
Carrot,Matale,ARIMA,1.6105606602888436,1.8037226085454778,124.84270749817993,1.6105606602888436
Carrot,Matara,ARIMA,7.897881116607722e-22,9.175058773359497e-22,7.897881116607722e-12,7.897881116607722e-22
