year,month,Location_district,Crop_nam,harvested,Productio,yield
2001,March,Nuwara Eliya,Carrot,277.6666666666667,3371.8333333333335,12.143457382953182
2001,March,Nuwara Eliya,Tomatoes,138.5,1401.1666666666667,10.116726835138389
2001,March,Polonnaruwa,Beans,1.5,8.666666666666666,5.777777777777778
2001,March,Polonnaruwa,Beetroot,0.6666666666666666,3.8333333333333335,5.750000000000001
2001,March,Polonnaruwa,Cabbage,0.16666666666666666,0.8333333333333334,5.000000000000001
2001,March,Polonnaruwa,Carrot,0.0,0.0,0.0
2001,March,Polonnaruwa,Tomatoes,13.333333333333334,52.666666666666664,3.9499999999999997
2001,March,Puttalam,Beans,0.0,0.0,0.0
2001,March,Puttalam,Beetroot,0.0,0.0,0.0
2001,March,Puttalam,Cabbage,0.3333333333333333,1.1666666666666667,3.5000000000000004
2001,March,Puttalam,Carrot,0.0,0.0,0.0
2001,March,Puttalam,Tomatoes,4.833333333333333,19.0,3.931034482758621
2001,March,Ratnapura,Beans,89.5,553.3333333333334,6.182495344506518
2001,March,Ratnapura,Beetroot,3.8333333333333335,33.166666666666664,8.652173913043477
2001,March,Ratnapura,Cabbage,6.666666666666667,44.333333333333336,6.65
2001,March,Ratnapura,Carrot,1.6666666666666667,16.166666666666668,9.700000000000001
2001,March,Ratnapura,Tomatoes,74.83333333333333,447.3333333333333,5.977728285077951
2001,March,Trincomalee,Beans,0.16666666666666666,0.16666666666666666,1.0
2001,March,Trincomalee,Beetroot,0.0,0.0,0.0
2001,March,Trincomalee,Cabbage,0.5,1.1666666666666667,2.3333333333333335
2001,March,Trincomalee,Carrot,0.0,0.0,0.0
2001,March,Trincomalee,Tomatoes,9.5,104.0,10.947368421052632
2001,March,Vavuniya,Beans,0.0,0.0,0.0
2001,March,Vavuniya,Beetroot,1.6666666666666667,13.666666666666666,8.2
2001,March,Vavuniya,Cabbage,3.3333333333333335,18.166666666666668,5.45
2001,March,Vavuniya,Carrot,0.0,0.5,0.0
2001,March,Vavuniya,Tomatoes,3.8333333333333335,21.0,5.478260869565217
2001,April,Ampara,Beans,0.0,0.16666666666666666,0.0
2001,April,Ampara,Beetroot,0.0,0.0,0.0
2001,April,Ampara,Cabbage,0.16666666666666666,0.6666666666666666,4.0
2001,April,Ampara,Carrot,0.0,0.0,0.0
2001,April,Ampara,Tomatoes,12.333333333333334,117.33333333333333,9.513513513513512
2001,April,Anuradhapura,Beans,0.6666666666666666,2.6666666666666665,4.0
2001,April,Anuradhapura,Beetroot,0.6666666666666666,2.5,3.75
2001,April,Anuradhapura,Cabbage,0.5,1.0,2.0
2001,April,Anuradhapura,Carrot,0.0,0.0,0.0
2001,April,Anuradhapura,Tomatoes,32.166666666666664,123.33333333333333,3.83419689119171
2001,April,Badulla,Beans,221.66666666666666,1205.1666666666667,5.436842105263159
2001,April,Badulla,Beetroot,27.166666666666668,315.3333333333333,11.607361963190183
2001,April,Badulla,Cabbage,101.0,2038.6666666666667,20.184818481848186
2001,April,Badulla,Carrot,49.0,472.6666666666667,9.646258503401361
2001,April,Badulla,Tomatoes,122.0,1114.8333333333333,9.137978142076502
2001,April,Batticaloa,Beans,0.0,0.0,0.0
2001,April,Batticaloa,Beetroot,0.0,0.0,0.0
2001,April,Batticaloa,Cabbage,0.0,0.0,0.0
2001,April,Batticaloa,Carrot,0.0,0.0,0.0
2001,April,Batticaloa,Tomatoes,13.166666666666666,72.16666666666667,5.481012658227849
2001,April,Colombo,Beans,0.0,0.0,0.0
2001,April,Colombo,Beetroot,0.0,0.0,0.0
2001,April,Colombo,Cabbage,0.0,0.0,0.0
2001,April,Colombo,Carrot,0.0,0.0,0.0
2001,April,Colombo,Tomatoes,0.16666666666666666,0.16666666666666666,1.0
2001,April,Galle,Beans,0.0,0.0,0.0
2001,April,Galle,Beetroot,0.0,0.0,0.0
